source_task,arm,L,T,zeta,lam,N_c,R_index,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_unweighted_mean,gess_final,ess_cum_final,n_distinct_anc_final,brentq_fallbacks,result_path,exact_compatible
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,6,6.0,systematic,1552006,ok,5414.05,922,0.15753373009950267,0.15753373009950267,1.0,507.9685921045636,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00070.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,7,6.0,systematic,1552007,ok,4628.98,922,0.2100445014803221,0.2100445014803221,1.0,508.2692762528592,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00071.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,8,6.0,systematic,1552008,ok,5449.65,922,0.30604908518408064,0.30604908518408064,1.0,508.16682790486595,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00072.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,9,6.0,systematic,1552009,ok,5433.49,922,0.2571765548208249,0.2571765548208249,1.0,507.96239573768844,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00073.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,10,6.0,systematic,1552010,ok,5439.49,922,0.1696964005816269,0.1696964005816269,1.0,508.7080310991338,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00074.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,11,6.0,systematic,1552011,ok,5438.94,922,0.345922228049865,0.345922228049865,1.0,508.3725376468619,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00075.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,12,6.0,systematic,1552012,ok,5450.91,922,0.2109512338767467,0.2109512338767467,1.0,508.56328049081213,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00076.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,13,6.0,systematic,1552013,ok,5453.06,922,0.3066958792982306,0.3066958792982306,1.0,508.40652674395545,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00077.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,14,6.0,systematic,1552014,ok,5390.01,922,0.19340535498385897,0.19340535498385897,1.0,508.57276401945614,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00078.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,15,6.0,systematic,1552015,ok,4704.73,922,0.35808909039184333,0.35808909039184333,1.0,507.9684254789595,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00079.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,16,6.0,systematic,1552016,ok,5491.48,922,0.3044878723567147,0.3044878723567147,1.0,508.2112067992906,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00080.json,yes
TASK-2026-09-01-SMCRUCHE-READY,arm1,96,96.0,0.35,0.3032,512,17,6.0,systematic,1552017,ok,5433.14,922,0.28536007100806227,0.28536007100806227,1.0,508.2302341218702,1,0,research/tasks/active/TASK-2026-09-01-SMCRUCHE-READY/arm1/results/ARM1_00081.json,yes
