dataset,source_file,r_alpha_over_w,git_commit,L,lambda,zeta,real,alpha,w,T,N_c,dtau,theta_hat,S_mean,S_std,eff_sample_size,n_T_mean,n_distinct_ancestors,CMI_mean,CMI_std,B_L_mean,B_L_std,S_AB_mean,wall_s,status
refine,pps/refine/L128_z0.350_lam0.3032/real005.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,5,0.3032,0.6968,128.0,128,0.15581825358901374,-9.887305281156014,2.841874149107918,0.3160067958819748,124.92888058418187,0.03840299182047088,1,0.3201022348673877,0.14585701519661873,0.8819911123186099,0.4649275931564914,2.692413210073921,3596.983102083206,ok
refine,pps/refine/L128_z0.350_lam0.3032/real006.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,6,0.3032,0.6968,128.0,128,0.15581825358901374,-9.811622109820531,2.393472769192095,0.30867030704335857,125.55757556093285,0.03832189689418026,1,0.41406068759333164,0.1170418397428977,0.966310995322839,0.38219025809681234,2.283917637165086,3614.589372396469,ok
refine,pps/refine/L128_z0.350_lam0.3032/real007.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,7,0.3032,0.6968,128.0,128,0.15581825358901374,-9.860785869714633,2.6840176975063312,0.3149790966368083,125.51952172459805,0.0388968192417867,1,1.361684945120281,0.4879433191395967,4.363906311973501,1.8355704507712745,3.1233290547107977,3639.7801280021667,ok
refine,pps/refine/L128_z0.350_lam0.3032/real008.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,8,0.3032,0.6968,128.0,128,0.15581825358901374,-9.55578658371811,2.289508034255388,0.2513474879787919,125.47544027209881,0.037750039725221035,1,0.09245469470096618,0.0811556344510489,0.23622105262753768,0.21966049394775702,2.420449854821303,3545.7682836055756,ok
refine,pps/refine/L128_z0.350_lam0.3032/real009.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,9,0.3032,0.6968,128.0,128,0.15581825358901374,-9.712429252884707,2.4464903048486337,0.27157479728941447,125.9170219020885,0.038351642032369494,1,0.22985847570626333,0.11386661247716444,0.6102163293329969,0.3655706334519094,2.525152202284808,3642.935753583908,ok
refine,pps/refine/L128_z0.350_lam0.3032/real010.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,10,0.3032,0.6968,128.0,128,0.15581825358901374,-9.685758397746888,2.425824215084705,0.19731659797774043,125.82490891838759,0.03811234929411636,1,0.2890887586797114,0.12882062887727383,0.6753797749463487,0.4253694526061874,2.249489614487711,3536.5310230255127,ok
refine,pps/refine/L128_z0.350_lam0.3032/real011.json,0.43513203214695756,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3032,0.35,11,0.3032,0.6968,128.0,128,0.15581825358901374,-9.861769202870724,2.58269337722202,0.25312960491722347,125.61796851684565,0.038748913578697246,1,0.1734106249669359,0.06899412383763043,0.39329107623588544,0.19853723543895863,2.2000361773069423,3609.756808280945,ok
refine,pps/refine/L128_z0.350_lam0.3144/real000.json,0.45857642940490084,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3144,0.35,0,0.3144,0.6856,128.0,128,0.1502674761074713,-9.96352308294567,2.2889206707767995,0.3209482030795406,124.94569991985513,0.03928692159389747,1,0.7543054101889994,0.24519618732415266,1.7767518126559847,0.722879892177652,2.29882400122798,3720.358973503113,ok
refine,pps/refine/L128_z0.350_lam0.3144/real001.json,0.45857642940490084,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3144,0.35,1,0.3144,0.6856,128.0,128,0.1502674761074713,-9.812251157691906,2.4287183125919705,0.32396324774221646,125.47591274283515,0.03803897802476097,1,0.11805289848701415,0.07812868038024415,0.23114234615890533,0.1627049924092704,1.9129712504540564,3761.2923250198364,ok
refine,pps/refine/L128_z0.350_lam0.3144/real002.json,0.45857642940490084,9b617fad03ded5737e9f1bf1610ffeb2a50a0996,128,0.3144,0.35,2,0.3144,0.6856,128.0,128,0.1502674761074713,-9.78698937174669,2.1237024608221606,0.21095661056027817,124.95417035673766,0.03904455405444133,1,0.14314161112806864,0.1123535339210391,0.2805703982826471,0.2746790303244596,1.8034295221040018,3669.7021610736847,ok
