source_task,source_arm,source_file,L,T,zeta,lam,N_c,dtau_mult,resample_scheme,seed,status,wall_s,n_steps,cmi_weighted_mean,cmi_within_var,n_nonfinite,n_distinct_anc_final,gess_final,ess_cum_final,ess_frac_mean,brentq_fallbacks
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00062.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300062,ok,1792.11,395,0.39796911340783514,0.045033380810680076,0,2,1.8055984130482698,1012.4172701325514,0.9886304826111678,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00063.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300063,ok,1800.48,395,0.39597854199708915,0.05007014010477024,0,1,1.0,1012.3147178505608,0.9888031504209854,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00064.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300064,ok,2011.33,395,0.33375741905539535,0.04013737812958709,0,2,1.1153165418652145,1012.6735185800837,0.9882956738420208,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00065.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300065,ok,2036.53,395,0.4848176172470403,0.05682629536331837,0,3,1.660331947316585,1011.8935139777577,0.9889681923036963,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00066.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300066,ok,1783.23,395,0.35520115986349093,0.044781044730342064,0,4,1.594777842331477,1012.6846273621269,0.9885426774159395,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00067.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300067,ok,1781.89,395,0.4587454620360926,0.05161650566821264,0,2,1.104543204154509,1011.6217964120156,0.988926638822716,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00068.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300068,ok,2009.59,395,0.4269301273213766,0.051538374471063145,0,4,1.528728091276749,1012.5064300617483,0.9887229557443291,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00069.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300069,ok,1983.38,395,0.48433896335202953,0.06355239336035337,0,1,1.0,1012.0552613862676,0.9885977077057728,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00070.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300070,ok,1969.5,395,0.37165768205105865,0.04906311978256664,0,1,1.0,1011.64553973692,0.988354186013553,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00071.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300071,ok,1993.9,395,0.3569685815107836,0.039051829430655265,0,4,1.1603733287298015,1012.5738781930653,0.9888227539846561,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00072.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300072,ok,1993.28,395,0.42184394991992497,0.04792583973427129,0,2,1.773442071757889,1012.9571672097895,0.9888144955440068,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00073.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300073,ok,1996.4,395,0.400873737731562,0.04655302973758021,0,3,1.1645565121589323,1012.4851932094333,0.9887857151926491,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00074.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300074,ok,1980.14,395,0.4088892452105481,0.05365947038448487,0,4,2.821467971865397,1012.418263825276,0.9887512412187774,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00075.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300075,ok,1963.0,395,0.3695926433021909,0.04594740421336604,0,1,1.0,1012.5199938647909,0.9885266315018266,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00076.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300076,ok,1793.3,395,0.4328173877385307,0.05081008518618544,0,2,1.0459297976120416,1012.6367530867919,0.9887807107534198,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00077.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300077,ok,1783.32,395,0.36307512141623305,0.03948850836634605,0,1,1.0,1012.9007807652681,0.9885912889145456,0
TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA,armB,TASK-2026-09-02-SMC-HIGHRUNG-LAMBDA/armB/results/B_00078.json,64,64.0,0.35,0.2932,1024,6.0,systematic,30300078,ok,1832.98,395,0.3872186253943355,0.04927548414277471,0,3,1.3128566742373213,1012.120753033145,0.9885993236825859,0
